run_name,architecture,seed,corpus,source_platform,source_torch_version,source_cuda_version,source_gpu,source_world_size,train_bin_sha256,val_bin_sha256,tokenizer_sha256,word_map_sha256,checkpoint_label,checkpoint_filename,checkpoint_role,iter_num,tokens_seen,words_seen,blimp_model_name
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,GRID A100X-20C,1,63871a140cb32e170d848ca8f13be39801ddf6d50809bb4d997510e99a7eeb10,c7e638f3e7c5afbce3503e09d9ddd46565a1a43d27fb46761c8216b747f05007,8c877bb7243db5669f68a9bbbf0c46ca56fb02edd2d43520aac978aa1f35a873,00c60607cdc98bb097e964feeb9dfe03240e479f068438098fbf930bb43d10fa,1M,ckpt_000005.pt,milestone,5,1310720,957909,bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64--diag-words-1M
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,GRID A100X-20C,1,63871a140cb32e170d848ca8f13be39801ddf6d50809bb4d997510e99a7eeb10,c7e638f3e7c5afbce3503e09d9ddd46565a1a43d27fb46761c8216b747f05007,8c877bb7243db5669f68a9bbbf0c46ca56fb02edd2d43520aac978aa1f35a873,00c60607cdc98bb097e964feeb9dfe03240e479f068438098fbf930bb43d10fa,2M,ckpt_000010.pt,milestone,10,2621440,1916220,bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64--diag-words-2M
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,GRID A100X-20C,1,63871a140cb32e170d848ca8f13be39801ddf6d50809bb4d997510e99a7eeb10,c7e638f3e7c5afbce3503e09d9ddd46565a1a43d27fb46761c8216b747f05007,8c877bb7243db5669f68a9bbbf0c46ca56fb02edd2d43520aac978aa1f35a873,00c60607cdc98bb097e964feeb9dfe03240e479f068438098fbf930bb43d10fa,3M,ckpt_000016.pt,milestone,16,4194304,3068416,bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64--diag-words-3M
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,GRID A100X-20C,1,63871a140cb32e170d848ca8f13be39801ddf6d50809bb4d997510e99a7eeb10,c7e638f3e7c5afbce3503e09d9ddd46565a1a43d27fb46761c8216b747f05007,8c877bb7243db5669f68a9bbbf0c46ca56fb02edd2d43520aac978aa1f35a873,00c60607cdc98bb097e964feeb9dfe03240e479f068438098fbf930bb43d10fa,4M,ckpt_000021.pt,milestone,21,5505024,4026012,bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64--diag-words-4M
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,GRID A100X-20C,1,63871a140cb32e170d848ca8f13be39801ddf6d50809bb4d997510e99a7eeb10,c7e638f3e7c5afbce3503e09d9ddd46565a1a43d27fb46761c8216b747f05007,8c877bb7243db5669f68a9bbbf0c46ca56fb02edd2d43520aac978aa1f35a873,00c60607cdc98bb097e964feeb9dfe03240e479f068438098fbf930bb43d10fa,5M,ckpt_000026.pt,milestone,26,6815744,4985641,bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64--diag-words-5M
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,GRID A100X-20C,1,63871a140cb32e170d848ca8f13be39801ddf6d50809bb4d997510e99a7eeb10,c7e638f3e7c5afbce3503e09d9ddd46565a1a43d27fb46761c8216b747f05007,8c877bb7243db5669f68a9bbbf0c46ca56fb02edd2d43520aac978aa1f35a873,00c60607cdc98bb097e964feeb9dfe03240e479f068438098fbf930bb43d10fa,6M,ckpt_000031.pt,milestone,31,8126464,5945244,bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64--diag-words-6M
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,GRID A100X-20C,1,63871a140cb32e170d848ca8f13be39801ddf6d50809bb4d997510e99a7eeb10,c7e638f3e7c5afbce3503e09d9ddd46565a1a43d27fb46761c8216b747f05007,8c877bb7243db5669f68a9bbbf0c46ca56fb02edd2d43520aac978aa1f35a873,00c60607cdc98bb097e964feeb9dfe03240e479f068438098fbf930bb43d10fa,7M,ckpt_000036.pt,milestone,36,9437184,6906321,bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64--diag-words-7M
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,GRID A100X-20C,1,63871a140cb32e170d848ca8f13be39801ddf6d50809bb4d997510e99a7eeb10,c7e638f3e7c5afbce3503e09d9ddd46565a1a43d27fb46761c8216b747f05007,8c877bb7243db5669f68a9bbbf0c46ca56fb02edd2d43520aac978aa1f35a873,00c60607cdc98bb097e964feeb9dfe03240e479f068438098fbf930bb43d10fa,8M,ckpt_000042.pt,milestone,42,11010048,8054810,bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64--diag-words-8M
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,GRID A100X-20C,1,63871a140cb32e170d848ca8f13be39801ddf6d50809bb4d997510e99a7eeb10,c7e638f3e7c5afbce3503e09d9ddd46565a1a43d27fb46761c8216b747f05007,8c877bb7243db5669f68a9bbbf0c46ca56fb02edd2d43520aac978aa1f35a873,00c60607cdc98bb097e964feeb9dfe03240e479f068438098fbf930bb43d10fa,9M,ckpt_000047.pt,milestone,47,12320768,9015045,bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64--diag-words-9M
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,GRID A100X-20C,1,63871a140cb32e170d848ca8f13be39801ddf6d50809bb4d997510e99a7eeb10,c7e638f3e7c5afbce3503e09d9ddd46565a1a43d27fb46761c8216b747f05007,8c877bb7243db5669f68a9bbbf0c46ca56fb02edd2d43520aac978aa1f35a873,00c60607cdc98bb097e964feeb9dfe03240e479f068438098fbf930bb43d10fa,10M,ckpt_000052.pt,milestone,52,13631488,9974734,bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64--diag-words-10M
bl100m-d512L32-do0.1-gate-attnres8-offdev-aoaw28-aoat31-u57-b16ga32,attnres,1337,100m,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,NVIDIA GeForce RTX 3090,1,8b3f3e41b28ab3cfde1fe8f1c095c662ece3332f081d1e70698a279d0e1a6853,d078706863afbcf3b35a6d1e7f5f571eab99c7ac52bda8fbe2c6a0fbe4ad2fa8,f13720328807e761dc92192111d89ece0119987875f890f3665eba477b5d727c,527618341da23d9858ebffdca116edddb577ab239c7332df94b24075436ca1bb,10M,ckpt_000053.pt,milestone,53,13893632,10050807,bl100m-d512L32-do0.1-gate-attnres8-offdev-aoaw28-aoat31-u57-b16ga32--diag-words-10M
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,GRID A100X-20C,1,63871a140cb32e170d848ca8f13be39801ddf6d50809bb4d997510e99a7eeb10,c7e638f3e7c5afbce3503e09d9ddd46565a1a43d27fb46761c8216b747f05007,8c877bb7243db5669f68a9bbbf0c46ca56fb02edd2d43520aac978aa1f35a873,00c60607cdc98bb097e964feeb9dfe03240e479f068438098fbf930bb43d10fa,20M,ckpt_000104.pt,milestone,104,27262976,19950143,bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64--diag-words-20M
bl100m-d512L32-do0.1-gate-attnres8-offdev-aoaw28-aoat31-u57-b16ga32,attnres,1337,100m,Linux-5.15.0-139-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,NVIDIA GeForce RTX 3090,1,8b3f3e41b28ab3cfde1fe8f1c095c662ece3332f081d1e70698a279d0e1a6853,d078706863afbcf3b35a6d1e7f5f571eab99c7ac52bda8fbe2c6a0fbe4ad2fa8,f13720328807e761dc92192111d89ece0119987875f890f3665eba477b5d727c,527618341da23d9858ebffdca116edddb577ab239c7332df94b24075436ca1bb,20M,ckpt_000105.pt,milestone,105,27525120,19917876,bl100m-d512L32-do0.1-gate-attnres8-offdev-aoaw28-aoat31-u57-b16ga32--diag-words-20M
bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64,attnres,1337,10m,Linux-6.17.0-35-generic-x86_64-with-glibc2.39,2.7.1+cu128,12.8,GRID A100X-20C,1,63871a140cb32e170d848ca8f13be39801ddf6d50809bb4d997510e99a7eeb10,c7e638f3e7c5afbce3503e09d9ddd46565a1a43d27fb46761c8216b747f05007,8c877bb7243db5669f68a9bbbf0c46ca56fb02edd2d43520aac978aa1f35a873,00c60607cdc98bb097e964feeb9dfe03240e479f068438098fbf930bb43d10fa,30M,ckpt_000156.pt,milestone,156,40894464,29929275,bl10m-d512L32-do0.1-gate-attnres8-offdev-aoaw19-aoat20-u37-b8ga64--diag-words-30M
